Product Code,Category,Size,Bottle,Cap, Price in Php ,size (ml),FILENAME USED,
GB 305,Glass Bottles,30,Dazzle,Pump Spray Fancy,33.6,30ml,30-Dazzle-+-Pump Spray Fancy,
GB 183,Glass Bottles,120,Amber Frosted,Aluminum Fake Cap,32.48,120ml,120-Amber Frosted-+-Aluminum Fake Cap,
GB 292,Glass Bottles,40,Hugo Frosted,Aluminum Fake Cap,25.76,40ml,40-Hugo Frosted-+-Aluminum Fake Cap,
GB 283,Glass Bottles,30,Round Frosted,Aluminum Fake Cap,19.04,30ml,30-Round Frosted-+-Aluminum Fake Cap,
GB 278,Glass Bottles,50,Sexy Frosted,Aluminum Fake Cap,25.76,50ml,50-Sexy Frosted-+-Aluminum Fake Cap,
GB 284,Glass Bottles,30,Sexy Frosted,Aluminum Fake Cap,25.76,30ml,30-Sexy Frosted-+-Aluminum Fake Cap,
GB 160,Glass Bottles,10,Cobalt Blue,Aluminum Fake Cap,19.04,10ml,10-Cobalt Blue-+-Aluminum Fake Cap,
GB 165,Glass Bottles,30,Cobalt Blue,Aluminum Fake Cap,21.28,30ml,30-Cobalt Blue-+-Aluminum Fake Cap,
GB 171,Glass Bottles,60,Cobalt Blue,Aluminum Fake Cap,24.64,60ml,60-Cobalt Blue-+-Aluminum Fake Cap,
GB 177,Glass Bottles,120,Cobalt Blue,Aluminum Fake Cap,32.48,120ml,120-Cobalt Blue-+-Aluminum Fake Cap,
GB 300,Glass Bottles,60,Tubular Frosted,Aluminum Fake Cap,19.04,60ml,60-Tubular Frosted-+-Aluminum Fake Cap,
GB 265,Glass Bottles,60,Round YL,Aluminum Fake Cap,19.04,60ml,60-Round YL-+-Aluminum Fake Cap,
GB 274,Glass Bottles,60,Round YL Frosted,Aluminum Fake Cap,19.04,60ml,60-Round YL Frosted-+-Aluminum Fake Cap,
GB 275,Glass Bottles,50,Tubular,Aluminum Fake Cap,19.04,50ml,50-Tubular-+-Aluminum Fake Cap,
GB 282,Glass Bottles,60,Hugo,Aluminum Fake Cap,25.76,60ml,60-Hugo-+-Aluminum Fake Cap,
GB 286,Glass Bottles,60,Clean,Aluminum Fake Cap,25.76,60ml,60-Clean-+-Aluminum Fake Cap,
GB 299,Glass Bottles,30,Clean,Aluminum Fake Cap,20.16,30ml,30-Clean-+-Aluminum Fake Cap,
GB 301,Glass Bottles,100,Round YL Frosted,Aluminum Fake Cap,19.04,100ml,100-Round YL Frosted-+-Aluminum Fake Cap,
GB 302,Glass Bottles,30,Tubular Slim,Aluminum Fake Cap,19.04,30ml,30-Tubular Slim-+-Aluminum Fake Cap,
GB 166,Glass Bottles,30,Cobalt Blue,Metal Cap,24.64,30ml,30-Cobalt Blue-+-Metal Cap,
GB 172,Glass Bottles,60,Cobalt Blue,Metal Cap,26.88,60ml,60-Cobalt Blue-+-Metal Cap,
GB 178,Glass Bottles,120,Cobalt Blue,Metal Cap,34.72,120ml,120-Cobalt Blue-+-Metal Cap,
GB 159,Glass Bottles,10,Cobalt Blue,,16.8,10ml,10-Cobalt Blue-+-,
GB 161,Glass Bottles,10,Cobalt Blue,Aluminum Fake Cap-+-Stopper,21.28,10ml,10-Cobalt Blue-+-Aluminum Fake Cap-+-Stopper,
GB 164,Glass Bottles,30,Cobalt Blue,,19.04,30ml,30-Cobalt Blue-+-,
GB 170,Glass Bottles,60,Cobalt Blue,,22.4,60ml,60-Cobalt Blue-+-,
GB 176,Glass Bottles,120,Cobalt Blue,,28,120ml,120-Cobalt Blue-+-,
GB 175,Glass Bottles,60,Cobalt Blue,Aluminum Screw Pump Spray,29.12,60ml,60-Cobalt Blue-+-Aluminum Screw Pump Spray,
GB 202,Glass Bottles,30,Gift,Cap,36.96,30ml,30-Gift-+-Cap,
GB 203,Glass Bottles,30,Star,Cap,36.96,30ml,30-Star-+-Cap,
GB 204,Glass Bottles,50,Menstock,Cap,21.28,50ml,50-Menstock-+-Cap,
GB 205,Glass Bottles,60,William Frosted,Cap (Green),17.92,60ml,60-William Frosted-+-Cap (Green),Phased-Out
GB 288,Glass Bottles,50,Very Sexy Frosted,Crimp,24.64,50ml,50-Very Sexy Frosted-+-Crimp,
GB 007,Glass Bottles,12,Round,Gel Pump,12.32,12ml,12-Round-+-Gel Pump,
GB 011,Glass Bottles,12,Round Frosted,Gel Pump,13.44,12ml,12-Round Frosted-+-Gel Pump,
GB 014,Glass Bottles,10,Round,Gel Pump,14.56,10ml,10-Round-+-Gel Pump,
GB 043,Glass Bottles,30,Test Tube Frosted,Gel Pump,19.04,30ml,30-Test Tube Frosted-+-Gel Pump,
GB 096,Glass Bottles,30,Crib Frosted,Gel Pump,25.76,30ml,30-Crib Frosted-+-Gel Pump,
GB 107,Glass Bottles,30,Crib Frosted,Gel Pump Shroud,31.36,30ml,30-Crib Frosted-+-Gel Pump Shroud,
GB 143,Glass Bottles,30,Hugo Frosted,Gel Pump,29.12,30ml,30-Hugo Frosted-+-Gel Pump,
GB 144,Glass Bottles,40,Hugo Frosted,Gel Pump,29.12,40ml,40-Hugo Frosted-+-Gel Pump,
GB 091,Glass Bottles,30,Tubular Slim,Gel Pump,23.52,30ml,30-Tubular Slim-+-Gel Pump,
GB 092,Glass Bottles,30,Cylindrical,Gel Pump,23.52,30ml,30-Cylindrical-+-Gel Pump,
GB 095,Glass Bottles,60,Round YL Frosted,Gel Pump,23.52,60ml,60-Round YL Frosted-+-Gel Pump,
GB 022,Glass Bottles,10,Round Frosted,Gel Pump,15.68,10ml,10-Round Frosted-+-Gel Pump,
GB 090,Glass Bottles,30,Round Frosted,Gel Pump,23.52,30ml,30-Round Frosted-+-Gel Pump,
GB 147,Glass Bottles,30,Sexy Frosted,Gel Pump,29.12,30ml,30-Sexy Frosted-+-Gel Pump,
GB 148,Glass Bottles,50,Sexy Frosted,Gel Pump,29.12,50ml,50-Sexy Frosted-+-Gel Pump,
GB 150,Glass Bottles,120,Sexy Frosted,Gel Pump,30.24,120ml,120-Sexy Frosted-+-Gel Pump,
GB 145,Glass Bottles,60,Hugo,Gel Pump,29.12,60ml,60-Hugo-+-Gel Pump,
GB 149,Glass Bottles,60,Clean,Gel Pump,29.12,60ml,60-Clean-+-Gel Pump,
GB 146,Glass Bottles,70,Teardrop Frosted,Gel Pump,29.12,70ml,70-Teardrop Frosted-+-Gel Pump,
GB 163,Glass Bottles,10,Cobalt Blue,Gel Pump,23.52,10ml,10-Cobalt Blue-+-Gel Pump,
GB 168,Glass Bottles,30,Cobalt Blue,Gel Pump,25.76,30ml,30-Cobalt Blue-+-Gel Pump,
GB 174,Glass Bottles,60,Cobalt Blue,Gel Pump,28,60ml,60-Cobalt Blue-+-Gel Pump,
GB 093,Glass Bottles,50,Tubular Frosted,Gel Pump,23.52,50ml,50-Tubular Frosted-+-Gel Pump,
GB 094,Glass Bottles,60,Tubular Frosted,Gel Pump,23.52,60ml,60-Tubular Frosted-+-Gel Pump,
GB 268,Glass Bottles,60,Round YL,Gel Pump,23.52,60ml,60-Round YL-+-Gel Pump,
GB 280,Glass Bottles,30,Clean,Gel Pump,24.64,30ml,30-Clean-+-Gel Pump,
GB 098,Glass Bottles,30,Volcano Frosted,Gel Pump,25.76,30ml,30-Volcano Frosted-+-Gel Pump,Phased-Out
GB 109,Glass Bottles,30,Volcano Frosted,Gel Pump Shroud,31.36,30ml,30-Volcano Frosted-+-Gel Pump Shroud,Phased-Out
GB 008,Glass Bottles,12,Round,Gel Pump Shroud,20.16,12ml,12-Round-+-Gel Pump Shroud,
GB 012,Glass Bottles,12,Round Frosted,Gel Pump Shroud,21.28,12ml,12-Round Frosted-+-Gel Pump Shroud,
GB 016,Glass Bottles,10,Round,Gel Pump Shroud,23.52,10ml,10-Round-+-Gel Pump Shroud,
GB 044,Glass Bottles,30,Test Tube Frosted,Gel Pump Shroud,26.88,30ml,30-Test Tube Frosted-+-Gel Pump Shroud,
GB 151,Glass Bottles,30,Hugo Frosted,Gel Pump Shroud,33.6,30ml,30-Hugo Frosted-+-Gel Pump Shroud,
GB 152,Glass Bottles,40,Hugo Frosted,Gel Pump Shroud,33.6,40ml,40-Hugo Frosted-+-Gel Pump Shroud,
GB 024,Glass Bottles,10,Round Frosted,Gel Pump Shroud,24.64,10ml,10-Round Frosted-+-Gel Pump Shroud,
GB 102,Glass Bottles,30,Tubular Slim,Gel Pump Shroud,31.36,30ml,30-Tubular Slim-+-Gel Pump Shroud,
GB 103,Glass Bottles,30,Cylindrical,Gel Pump Shroud,31.36,30ml,30-Cylindrical-+-Gel Pump Shroud,
GB 106,Glass Bottles,60,Round YL Frosted,Gel Pump Shroud,31.36,60ml,60-Round YL Frosted-+-Gel Pump Shroud,
GB 101,Glass Bottles,30,Round Frosted,Gel Pump Shroud,31.36,30ml,30-Round Frosted-+-Gel Pump Shroud,
GB 155,Glass Bottles,30,Sexy Frosted,Gel Pump Shroud,33.6,30ml,30-Sexy Frosted-+-Gel Pump Shroud,
GB 156,Glass Bottles,50,Sexy Frosted,Gel Pump Shroud,33.6,50ml,50-Sexy Frosted-+-Gel Pump Shroud,
GB 158,Glass Bottles,120,Sexy Frosted,Gel Pump Shroud,35.84,120ml,120-Sexy Frosted-+-Gel Pump Shroud,
GB 153,Glass Bottles,60,Hugo,Gel Pump Shroud,33.6,60ml,60-Hugo-+-Gel Pump Shroud,
GB 154,Glass Bottles,70,Teardrop Frosted,Gel Pump Shroud,33.6,70ml,70-Teardrop Frosted-+-Gel Pump Shroud,
GB 157,Glass Bottles,60,Clean,Gel Pump Shroud,33.6,60ml,60-Clean-+-Gel Pump Shroud,
GB 104,Glass Bottles,50,Tubular Frosted,Gel Pump Shroud,31.36,50ml,50-Tubular Frosted-+-Gel Pump Shroud,
GB 105,Glass Bottles,60,Tubular Frosted,Gel Pump Shroud,31.36,60ml,60-Tubular Frosted-+-Gel Pump Shroud,
GB 018,Glass Bottles,10,Round Roll-on,Gold Cap (Sale),8.96,10ml,10-Round Roll-on-+-Gold Cap (Sale),
GB 026,Glass Bottles,10,Round Roll-on,Gold Cap,10.64,10ml,10-Round Roll-on-+-Gold Cap,
GB 180,Glass Bottles,120,Cobalt Blue,Lotion Pump,36.96,120ml,120-Cobalt Blue-+-Lotion Pump,
GB 100,Glass Bottles,100,Round Frosted,Lotion Pump Flat or Twist,26.88,100ml,100-Round Frosted-+-Lotion Pump Flat or Twist,
GB 017,Glass Bottles,10,Round Roll-on,Plastic Cap,8.12,10ml,10-Round Roll-on-+-Plastic Cap,
GB 025,Glass Bottles,10,Round Roll-on Frosted,Plastic Cap,9.24,10ml,10-Round Roll-on Frosted-+-Plastic Cap,
GB 293,Glass Bottles,8,Round Dream Rollette,Plastic Cap,6.72,8ml,8-Round Dream Rollette-+-Plastic Cap,
GB 001,Glass Bottles,5,Round,Pump Spray,8.4,5ml,5-Round-+-Pump Spray,
GB 003,Glass Bottles,8,Round Dream Rollette,Pump Spray,8.4,8ml,8-Round Dream Rollette-+-Pump Spray,
GB 004,Glass Bottles,8,Round Frosted,Pump Spray,11.2,8ml,8-Round Frosted-+-Pump Spray,
GB 005,Glass Bottles,12,Round,Pump Spray,10.08,12ml,12-Round-+-Pump Spray,
GB 009,Glass Bottles,12,Round Frosted,Pump Spray,11.2,12ml,12-Round Frosted-+-Pump Spray,
GB 013,Glass Bottles,10,Round,Pump Spray,11.2,10ml,10-Round-+-Pump Spray,
GB 289,Glass Bottles,60,Clean Frosted,Pump Spray,28,60ml,60-Clean Frosted-+-Pump Spray,
GB 041,Glass Bottles,30,Test Tube Frosted,Pump Spray,17.92,30ml,30-Test Tube Frosted-+-Pump Spray,
GB 050,Glass Bottles,30,Tubular Slim,Pump Spray,22.4,30ml,30-Tubular Slim-+-Pump Spray,
GB 051,Glass Bottles,30,Cylindrical,Pump Spray,22.4,30ml,30-Cylindrical-+-Pump Spray,
GB 055,Glass Bottles,30,Crib Frosted,Pump Spray,24.64,30ml,30-Crib Frosted-+-Pump Spray,
GB 054,Glass Bottles,60,Round YL Frosted,Pump Spray,20.16,60ml,60-Round YL Frosted-+-Pump Spray,
GB 059,Glass Bottles,100,Round YL Frosted,Pump Spray,20.16,100ml,100-Round YL Frosted-+-Pump Spray,
GB 111,Glass Bottles,30,Hugo Frosted,Pump Spray,28,30ml,30-Hugo Frosted-+-Pump Spray,
GB 112,Glass Bottles,40,Hugo Frosted,Pump Spray,28,40ml,40-Hugo Frosted-+-Pump Spray,
GB 002,Glass Bottles,5,Round Frosted,Pump Spray,11.2,5ml,5-Round Frosted-+-Pump Spray,
GB 021,Glass Bottles,10,Round Frosted,Pump Spray,12.32,10ml,10-Round Frosted-+-Pump Spray,
GB 049,Glass Bottles,30,Round Frosted,Pump Spray,22.4,30ml,30-Round Frosted-+-Pump Spray,
GB 113,Glass Bottles,60,Hugo,Pump Spray,28,60ml,60-Hugo-+-Pump Spray,
GB 117,Glass Bottles,60,Clean,Pump Spray,28,60ml,60-Clean-+-Pump Spray,
GB 115,Glass Bottles,30,Sexy Frosted,Pump Spray,28,30ml,30-Sexy Frosted-+-Pump Spray,
GB 116,Glass Bottles,50,Sexy Frosted,Pump Spray,28,50ml,50-Sexy Frosted-+-Pump Spray,
GB 118,Glass Bottles,120,Sexy Frosted,Pump Spray,30.24,120ml,120-Sexy Frosted-+-Pump Spray,
GB 114,Glass Bottles,70,Teardrop Frosted,Pump Spray,28,70ml,70-Teardrop Frosted-+-Pump Spray,
GB 052,Glass Bottles,50,Tubular Frosted,Pump Spray,22.4,50ml,50-Tubular Frosted-+-Pump Spray,
GB 053,Glass Bottles,60,Tubular Frosted,Pump Spray,20.16,60ml,60-Tubular Frosted-+-Pump Spray,
GB 162,Glass Bottles,10,Cobalt Blue,Pump Spray,22.4,10ml,10-Cobalt Blue-+-Pump Spray,
GB 167,Glass Bottles,30,Cobalt Blue,Pump Spray,24.64,30ml,30-Cobalt Blue-+-Pump Spray,
GB 173,Glass Bottles,60,Cobalt Blue,Pump Spray,26.88,60ml,60-Cobalt Blue-+-Pump Spray,
GB 179,Glass Bottles,120,Cobalt Blue,Pump Spray,34.72,120ml,120-Cobalt Blue-+-Pump Spray,
GB 193,Glass Bottles,10,Faraway,Pump Spray,14.56,10ml,10-Faraway-+-Pump Spray,
GB 194,Glass Bottles,10,Square Black,Pump Spray,14.56,10ml,10-Square Black-+-Pump Spray,
GB 199,Glass Bottles,15,Round,Pump Spray,8.4,15ml,15-Round-+-Pump Spray,
GB 200,Glass Bottles,15,Triangle,Pump Spray,8.4,15ml,15-Triangle-+-Pump Spray,
GB 201,Glass Bottles,20,Bell,Pump Spray,17.92,20ml,20-Bell-+-Pump Spray,
GB 211,Glass Bottles,30,Test Tube Frosted,,14.56,30ml,30-Test Tube Frosted-+-,
GB 266,Glass Bottles,80,Tubular Frosted,Pump Spray,22.4,80ml,80-Tubular Frosted-+-Pump Spray,
GB 267,Glass Bottles,60,Round YL,Pump Spray,22.4,60ml,60-Round YL-+-Pump Spray,
GB 271,Glass Bottles,30,Clean,Pump Spray,22.4,30ml,30-Clean-+-Pump Spray,
GB 057,Glass Bottles,30,Volcano Frosted,Pump Spray,22.4,30ml,30-Volcano Frosted-+-Pump Spray,Phased-Out
GB 308,Glass Bottles,85,Tubular,Pump Spray,20.16,85ml,85-Tubular-+-Pump Spray,
GB 295,Glass Bottles,15,Twist,Pump Spray Fancy,31.36,15ml,15-Twist-+-Pump Spray Fancy,
GB 296,Glass Bottles,30,Madrid,Pump Spray Fancy,31.36,30ml,30-Madrid-+-Pump Spray Fancy,
GB 297,Glass Bottles,50,Twist,Pump Spray Fancy,33.6,50ml,50-Twist-+-Pump Spray Fancy,
GB 304,Glass Bottles,30,Gucci,Pump Spray Fancy,29,30ml,30-Gucci-+-Pump Spray Fancy,
GB 307,Glass Bottles,50,Glow,Pump Spray Fancy,33.6,50ml,50-Glow-+-Pump Spray Fancy,
GB 281,Glass Bottles,60,Clean,Pump Spray Fancy Gold,39.2,60ml,60-Clean-+-Pump Spray Fancy Gold,
GB 290,Glass Bottles,60,Clean Frosted,Pump Spray Fancy Silver Matte,39.2,60ml,60-Clean Frosted-+-Pump Spray Fancy Silver Matte,
GB 076,Glass Bottles,30,Crib Frosted,Pump Spray Fancy Silver Matte,35.84,30ml,30-Crib Frosted-+-Pump Spray Fancy Silver Matte,
GB 071,Glass Bottles,30,Tubular Slim,Pump Spray Fancy Silver Matte,33.6,30ml,30-Tubular Slim-+-Pump Spray Fancy Silver Matte,
GB 072,Glass Bottles,30,Cylindrical,Pump Spray Fancy Silver Matte,33.6,30ml,30-Cylindrical-+-Pump Spray Fancy Silver Matte,
GB 127,Glass Bottles,30,Hugo Frosted,Pump Spray Fancy Silver Matte,39.2,30ml,30-Hugo Frosted-+-Pump Spray Fancy Silver Matte,
GB 075,Glass Bottles,60,Round YL Frosted,Pump Spray Fancy Silver Matte,33.6,60ml,60-Round YL Frosted-+-Pump Spray Fancy Silver Matte,
GB 128,Glass Bottles,40,Hugo Frosted,Pump Spray Fancy Silver Matte,39.2,40ml,40-Hugo Frosted-+-Pump Spray Fancy Silver Matte,
GB 070,Glass Bottles,30,Round Frosted,Pump Spray Fancy Silver Matte,33.6,30ml,30-Round Frosted-+-Pump Spray Fancy Silver Matte,
GB 131,Glass Bottles,30,Sexy Frosted,Pump Spray Fancy Silver Matte,39.2,30ml,30-Sexy Frosted-+-Pump Spray Fancy Silver Matte,
GB 129,Glass Bottles,60,Hugo,Pump Spray Fancy Silver Matte,39.2,60ml,60-Hugo-+-Pump Spray Fancy Silver Matte,
GB 132,Glass Bottles,50,Sexy Frosted,Pump Spray Fancy Silver Matte,39.2,50ml,50-Sexy Frosted-+-Pump Spray Fancy Silver Matte,
GB 134,Glass Bottles,120,Sexy Frosted,Pump Spray Fancy Silver Matte,41.44,120ml,120-Sexy Frosted-+-Pump Spray Fancy Silver Matte,
GB 133,Glass Bottles,60,Clean,Pump Spray Fancy Silver Matte,39.2,60ml,60-Clean-+-Pump Spray Fancy Silver Matte,
GB 130,Glass Bottles,70,Teardrop Frosted,Pump Spray Fancy Silver Matte,39.2,70ml,70-Teardrop Frosted-+-Pump Spray Fancy Silver Matte,
GB 073,Glass Bottles,50,Tubular Frosted,Pump Spray Fancy Silver Matte,33.6,50ml,50-Tubular Frosted-+-Pump Spray Fancy Silver Matte,
GB 074,Glass Bottles,60,Tubular Frosted,Pump Spray Fancy Silver Matte,33.6,60ml,60-Tubular Frosted-+-Pump Spray Fancy Silver Matte,
GB 272,Glass Bottles,30,Clean,Pump Spray Fancy Silver Matte,29.12,30ml,30-Clean-+-Pump Spray Fancy Silver Matte,
GB 279,Glass Bottles,60,Round YL,Pump Spray Fancy Silver Matte,33.6,60ml,60-Round YL-+-Pump Spray Fancy Silver Matte,
GB 078,Glass Bottles,30,Volcano Frosted,Pump Spray Fancy Silver Matte,35.84,30ml,30-Volcano Frosted-+-Pump Spray Fancy Silver Matte,Phased-Out
GB 291,Glass Bottles,60,Clean Frosted,Pump Spray Fancy Silver Shiny,39.2,60ml,60-Clean Frosted-+-Pump Spray Fancy Silver Shiny,
GB 086,Glass Bottles,30,Crib Frosted,Pump Spray Fancy Silver Shiny,35.84,30ml,30-Crib Frosted-+-Pump Spray Fancy Silver Shiny,
GB 065,Glass Bottles,60,Round YL,Pump Spray Fancy Silver Shiny,33.6,60ml,60-Round YL-+-Pump Spray Fancy Silver Shiny,
GB 135,Glass Bottles,30,Hugo Frosted,Pump Spray Fancy Silver Shiny,39.2,30ml,30-Hugo Frosted-+-Pump Spray Fancy Silver Shiny,
GB 136,Glass Bottles,40,Hugo Frosted,Pump Spray Fancy Silver Shiny,39.2,40ml,40-Hugo Frosted-+-Pump Spray Fancy Silver Shiny,
GB 081,Glass Bottles,30,Tubular Slim,Pump Spray Fancy Silver Shiny,33.6,30ml,30-Tubular Slim-+-Pump Spray Fancy Silver Shiny,
GB 082,Glass Bottles,30,Cylindrical,Pump Spray Fancy Silver Shiny,33.6,30ml,30-Cylindrical-+-Pump Spray Fancy Silver Shiny,
GB 085,Glass Bottles,60,Round YL Frosted,Pump Spray Fancy Silver Shiny,33.6,60ml,60-Round YL Frosted-+-Pump Spray Fancy Silver Shiny,
GB 080,Glass Bottles,30,Round Frosted,Pump Spray Fancy Silver Shiny,33.6,30ml,30-Round Frosted-+-Pump Spray Fancy Silver Shiny,
GB 139,Glass Bottles,30,Sexy Frosted,Pump Spray Fancy Silver Shiny,39.2,30ml,30-Sexy Frosted-+-Pump Spray Fancy Silver Shiny,
GB 140,Glass Bottles,50,Sexy Frosted,Pump Spray Fancy Silver Shiny,39.2,50ml,50-Sexy Frosted-+-Pump Spray Fancy Silver Shiny,
GB 142,Glass Bottles,120,Sexy Frosted,Pump Spray Fancy Silver Shiny,41.44,120ml,120-Sexy Frosted-+-Pump Spray Fancy Silver Shiny,
GB 137,Glass Bottles,60,Hugo,Pump Spray Fancy Silver Shiny,39.2,60ml,60-Hugo-+-Pump Spray Fancy Silver Shiny,
GB 141,Glass Bottles,60,Clean,Pump Spray Fancy Silver Shiny,39.2,60ml,60-Clean-+-Pump Spray Fancy Silver Shiny,
GB 138,Glass Bottles,70,Teardrop Frosted,Pump Spray Fancy Silver Shiny,39.2,70ml,70-Teardrop Frosted-+-Pump Spray Fancy Silver Shiny,
GB 083,Glass Bottles,50,Tubular Frosted,Pump Spray Fancy Silver Shiny,33.6,50ml,50-Tubular Frosted-+-Pump Spray Fancy Silver Shiny,
GB 084,Glass Bottles,60,Tubular Frosted,Pump Spray Fancy Silver Shiny,33.6,60ml,60-Tubular Frosted-+-Pump Spray Fancy Silver Shiny,
GB 273,Glass Bottles,30,Clean,Pump Spray Fancy Silver Shiny,29.12,30ml,30-Clean-+-Pump Spray Fancy Silver Shiny,
GB 088,Glass Bottles,30,Volcano Frosted,Pump Spray Fancy Silver Shiny,35.84,30ml,30-Volcano Frosted-+-Pump Spray Fancy Silver Shiny,Phased-Out
GB 298,Glass Bottles,30,Rebecca,Pump Spray Fancy Silver Shiny,31.36,30ml,30-Rebecca-+-Pump Spray Fancy Silver Shiny,
GB 306,Glass Bottles,85,Tubular,Pump Spray Fancy Silver Shiny,33.6,85ml,85-Tubular-+-Pump Spray Fancy Silver Shiny,
GB 006,Glass Bottles,12,Round,Pump Spray Shroud,17.92,12ml,12-Round-+-Pump Spray Shroud,
GB 010,Glass Bottles,12,Round Frosted,Pump Spray Shroud,19.04,12ml,12-Round Frosted-+-Pump Spray Shroud,
GB 015,Glass Bottles,10,Round,Pump Spray Shroud,21.28,10ml,10-Round-+-Pump Spray Shroud,
GB 042,Glass Bottles,30,Test Tube Frosted,Pump Spray Shroud,24.64,30ml,30-Test Tube Frosted-+-Pump Spray Shroud,
GB 066,Glass Bottles,30,Crib Frosted,Pump Spray Shroud,31.36,30ml,30-Crib Frosted-+-Pump Spray Shroud,
GB 061,Glass Bottles,30,Tubular Slim,Pump Spray Shroud,29.12,30ml,30-Tubular Slim-+-Pump Spray Shroud,
GB 062,Glass Bottles,30,Cylindrical,Pump Spray Shroud,29.12,30ml,30-Cylindrical-+-Pump Spray Shroud,
GB 119,Glass Bottles,30,Hugo Frosted,Pump Spray Shroud,31.36,30ml,30-Hugo Frosted-+-Pump Spray Shroud,
GB 120,Glass Bottles,40,Hugo Frosted,Pump Spray Shroud,31.36,40ml,40-Hugo Frosted-+-Pump Spray Shroud,
GB 023,Glass Bottles,10,Round Frosted,Pump Spray Shroud,22.4,10ml,10-Round Frosted-+-Pump Spray Shroud,
GB 060,Glass Bottles,30,Round Frosted,Pump Spray Shroud,29.12,30ml,30-Round Frosted-+-Pump Spray Shroud,
GB 121,Glass Bottles,60,Hugo,Pump Spray Shroud,31.36,60ml,60-Hugo-+-Pump Spray Shroud,
GB 123,Glass Bottles,30,Sexy Frosted,Pump Spray Shroud,33.6,30ml,30-Sexy Frosted-+-Pump Spray Shroud,
GB 125,Glass Bottles,60,Clean,Pump Spray Shroud,33.6,60ml,60-Clean-+-Pump Spray Shroud,
GB 124,Glass Bottles,50,Sexy Frosted,Pump Spray Shroud,33.6,50ml,50-Sexy Frosted-+-Pump Spray Shroud,
GB 126,Glass Bottles,120,Sexy Frosted,Pump Spray Shroud,33.6,120ml,120-Sexy Frosted-+-Pump Spray Shroud,
GB 122,Glass Bottles,70,Teardrop Frosted,Pump Spray Shroud,31.36,70ml,70-Teardrop Frosted-+-Pump Spray Shroud,
GB 063,Glass Bottles,50,Tubular Frosted,Pump Spray Shroud,29.12,50ml,50-Tubular Frosted-+-Pump Spray Shroud,
GB 064,Glass Bottles,60,Tubular Frosted,Pump Spray Shroud,29.12,60ml,60-Tubular Frosted-+-Pump Spray Shroud,
GB 068,Glass Bottles,30,Volcano Frosted,Pump Spray Shroud,31.36,30ml,30-Volcano Frosted-+-Pump Spray Shroud,Phased-Out
GB 190,Glass Bottles,5,Duo,Screw Cap,5.6,5ml,5-Duo-+-Screw Cap,
GB 263,Glass Bottles,60,Round YL Frosted,Pump Spray Shroud,29.12,60ml,60-Round YL Frosted-+-Pump Spray Shroud,
GB 264,Glass Bottles,60,Round YL,Pump Spray Shroud,29.12,60ml,60-Round YL-+-Pump Spray Shroud,
GB 294,Glass Bottles,20,Amber Vial,Silicone Dropper,21.28,20ml,20-Amber Vial-+-Silicone Dropper,
GB 020,Glass Bottles,10,Round Roll-on,Silver Matte Cap,15.68,10ml,10-Round Roll-on-+-Silver Matte Cap,
GB 028,Glass Bottles,10,Round Roll-on Frosted,Silver Matte Cap,16.8,10ml,10-Round Roll-on Frosted-+-Silver Matte Cap,
GB 019,Glass Bottles,10,Round Roll-on,Silver Shiny Cap,13.44,10ml,10-Round Roll-on-+-Silver Shiny Cap,
GB 027,Glass Bottles,10,Round Roll-on Frosted,Silver Shiny Cap,14.56,10ml,10-Round Roll-on Frosted-+-Silver Shiny Cap,
GB 195,Glass Bottles,10,Square Black,Splash On Cap,9.24,10ml,10-Square Black-+-Splash On Cap,
GB 196,Glass Bottles,10,Square,Splash On Cap,9.24,10ml,10-Square-+-Splash On Cap,
GB 197,Glass Bottles,10,Square Frosted,Splash On Cap,9.24,10ml,10-Square Frosted-+-Splash On Cap,
